vnf_type_max,sfc_vnf_num,multiple_sfc_num,per_sfc_vnf_num,expected_tasks_per_type,seed,HEFT,DHEFT,NHEFT,time_sec
8,80,4,20,10,4331,2797.1057,287.56210000000004,54.04833433333332,1.819058895111084
8,80,4,20,10,5960,3039.307299999999,300.9669,56.75476666666666,1.5826072692871094
8,80,4,20,10,1284,2736.179000000001,271.33720000000017,58.193173413793104,1.6279289722442627
8,80,4,20,10,2402,2941.367999999998,300.496,55.74773333333333,2.164879083633423
8,80,4,20,10,8146,2891.744399999998,293.84060000000005,58.69527281553398,2.4902429580688477
8,80,4,20,10,1786,2818.490199999999,292.2785,54.22933533333333,2.785555124282837
8,80,4,20,10,8911,3195.1363999999994,300.01360000000005,55.11839001944445,2.5831780433654785
8,80,4,20,10,7510,2578.3469999999998,244.63540000000003,49.42693333333333,2.2617690563201904
8,80,4,20,10,6556,2907.683899999999,280.0359999999999,57.31839606111111,1.534377098083496
8,80,4,20,10,5726,2701.1396000000013,269.7472000000001,51.52016666666667,1.583616018295288
8,80,4,20,10,2935,3079.4611000000004,297.66950000000014,51.041466666666665,1.8375680446624756
8,80,4,20,10,7223,2974.3924000000025,300.13950000000006,52.443266666666666,1.67271089553833
8,80,4,20,10,1405,2753.9592000000007,272.8683000000001,51.07916666666669,1.7336928844451904
8,80,4,20,10,6792,3080.491400000001,292.20180000000005,55.009634333333345,1.4563100337982178
8,80,4,20,10,7527,3032.089300000002,301.80279999999993,52.988566666666664,1.5286591053009033
8,80,4,20,10,3965,3111.166400000002,322.19949999999994,49.77956866666667,1.9651548862457275
8,80,4,20,10,9686,2401.592900000001,245.5884,45.298604,1.6598930358886719
8,80,4,20,10,2054,2310.8054000000006,243.68399999999997,47.88491616402403,1.7547450065612793
8,80,4,20,10,7502,2513.795799999999,246.44250000000002,53.02533333333333,1.6290321350097656
8,80,4,20,10,5872,2646.1254000000004,267.4395999999999,50.38023333333334,2.5059518814086914
8,80,4,20,10,1751,3028.868899999999,290.64930000000004,52.2339,2.4397802352905273
8,80,4,20,10,5095,2808.7991,287.74039999999997,55.43534513274336,1.6600308418273926
8,80,4,20,10,8465,3605.5930999999964,355.0543999999999,58.574200000000005,1.7271597385406494
8,80,4,20,10,8504,3349.6416000000004,328.7638000000001,57.50890000000001,1.9391741752624512
8,80,4,20,10,8819,2948.875000000001,279.4347,53.285782334869424,1.8638226985931396
8,80,4,20,10,4921,2573.592700000002,259.90620000000007,58.74647322222223,1.895857810974121
12,120,4,30,10,6347,4477.9698,430.9391,68.15803255813954,1.834517002105713
12,120,4,30,10,7536,4087.509300000001,409.6016,69.06198433333333,2.537846803665161
12,120,4,30,10,4078,3946.8280999999984,397.86769999999996,56.55958644067797,1.96952486038208
12,120,4,30,10,4726,4590.665000000003,474.2262999999999,69.70342877777777,2.3318440914154053
12,120,4,30,10,5978,4585.949700000004,449.99759999999986,70.13285757222222,2.54632306098938
12,120,4,30,10,8836,4762.723199999999,481.3109,56.65760000000001,2.3715450763702393
12,120,4,30,10,3380,4530.615299999997,453.6136000000001,54.72696666666667,1.6471009254455566
12,120,4,30,10,3669,4522.248100000004,445.8472,58.36126766666667,2.2373952865600586
12,120,4,30,10,7882,4151.9514,427.5044999999999,76.64760100000002,2.6846959590911865
12,120,4,30,10,2503,3826.6695999999984,375.85749999999996,73.74812766666668,3.184164047241211
12,120,4,30,10,5802,4463.8339000000005,451.26669999999984,56.05216666666667,1.8778319358825684
12,120,4,30,10,6455,4597.435599999996,449.6874999999999,59.16043533333333,2.2322402000427246
12,120,4,30,10,5608,4805.2838,498.8614000000001,68.06438518333331,2.3474130630493164
12,120,4,30,10,8258,4475.608000000001,456.71489999999983,85.78772442342344,1.9951272010803223
12,120,4,30,10,7486,4425.868000000002,440.35749999999996,59.724599999999995,1.992847204208374
12,120,4,30,10,1839,3908.1094000000016,396.25699999999995,52.591452601151765,1.7495169639587402
12,120,4,30,10,3282,4355.769800000003,435.28779999999983,52.279569666666674,2.733764886856079
12,120,4,30,10,3216,4780.247,461.14709999999985,63.944921555555545,2.192629814147949
12,120,4,30,10,9034,4150.9641,399.4320000000001,56.135904000000004,1.6439518928527832
12,120,4,30,10,7143,4144.071699999998,408.49389999999994,59.10726666666668,2.05704402923584
12,120,4,30,10,2446,4933.153500000003,479.08349999999984,56.32216666666666,2.416581869125366
12,120,4,30,10,5924,4123.915899999999,418.8398,56.475899999999996,2.238597869873047
12,120,4,30,10,8881,3826.1931000000013,394.6832,56.27187768613784,2.3354668617248535
12,120,4,30,10,6634,4424.7715,440.6796,62.534501,1.8116729259490967
12,120,4,30,10,3097,4325.071100000002,433.70679999999993,75.02823224657405,2.094801902770996
12,120,4,30,10,1211,4024.3800999999976,410.6657,48.61683333333333,2.2691190242767334
12,120,4,30,10,1921,3847.0561999999986,401.54769999999996,54.52927254901961,2.201014995574951
12,120,4,30,10,2740,4403.390900000003,442.37070000000006,54.612967666666655,2.4702320098876953
12,120,4,30,10,3306,4008.812500000001,401.8865999999998,67.48049329444444,1.9358611106872559
12,120,4,30,10,4366,3987.670900000003,409.15299999999985,60.535334333333324,1.9328758716583252
12,120,4,30,10,5455,4776.282999999998,483.5551,80.1210779230769,2.3921401500701904
12,120,4,30,10,9095,4235.124300000003,417.99359999999996,56.405958777777776,1.7573659420013428
12,120,4,30,10,8562,4610.5836999999965,455.93339999999995,70.09316766666667,2.0464470386505127
12,120,4,30,10,9815,3385.9395000000004,342.31800000000004,61.85156766666666,2.4510929584503174
12,120,4,30,10,1466,4369.491299999998,434.2232,73.53045213888889,2.1046299934387207
12,120,4,30,10,8480,4050.807299999998,402.7396,71.8785,1.9813339710235596
12,120,4,30,10,3792,4825.006700000002,486.27880000000016,58.107634333333344,2.5387909412384033
12,120,4,30,10,4697,4005.655399999995,408.0459,59.812672308111786,1.6942799091339111
12,120,4,30,10,1565,4186.769699999999,421.75440000000015,62.71420855555555,2.138150930404663
12,120,4,30,10,5891,4936.917100000001,476.1094,81.43673433333332,2.1575770378112793
12,120,4,30,10,8308,4246.461900000003,413.6109000000001,69.50213433333333,2.0459678173065186
12,120,4,30,10,4257,4092.752999999999,417.66419999999994,56.538223708333334,1.8969783782958984
12,120,4,30,10,5733,4481.5803,444.5131000000002,79.0371343333333,2.2922489643096924
12,120,4,30,10,2946,4174.378499999999,413.1889,57.25883333333334,2.3515141010284424
12,120,4,30,10,1292,4225.7608,417.18670000000003,52.63503433333334,1.853337049484253
12,120,4,30,10,5439,4330.2951,439.2133999999999,63.51350100000001,3.058168888092041
12,120,4,30,10,1714,4148.4998000000005,416.43230000000005,56.967824222222205,2.135364294052124
12,120,4,30,10,9200,4506.874799999998,453.0404000000001,71.14972873333335,1.8699498176574707
12,120,4,30,10,5804,4361.524199999997,416.9989000000001,71.96211809166664,2.476005792617798
12,120,4,30,10,3154,4043.683700000001,404.71910000000014,88.63420268067225,1.8906328678131104
12,120,4,30,10,2195,4139.7618,415.8183000000002,72.932351,1.9617910385131836
12,120,4,30,10,3042,4406.400799999999,454.5845,53.39069347976618,2.6497650146484375
