vnf_type_min,vnf_type_max,seed,HEFT,DHEFT,NHEFT,time_sec
1,10,8911,2058.327600000003,50.4754,14.015101000000005,7.283419132232666
1,10,7510,1680.8165000000017,46.81220000000003,15.06298590804598,5.038229942321777
1,10,6556,1995.9755000000055,47.485700000000016,16.721401999999998,6.179065942764282
1,10,5726,2106.1421000000073,53.64550000000004,15.024850741839762,6.818795204162598
1,10,2935,1991.1294999999889,48.410599999999995,11.176551253147627,7.030699968338013
1,10,7223,2047.6434000000013,49.780200000000036,13.811601,5.0797340869903564
1,10,1405,1983.3073000000006,50.92469999999995,12.862201,5.594162940979004
1,10,6792,1968.4915999999953,46.97189999999999,14.164722311396472,4.735067129135132
1,10,7527,1948.2106000000038,48.8164,14.291801000000001,3.3993430137634277
1,10,3965,1999.1460000000015,50.19350000000003,12.922100999999998,3.7237560749053955
1,10,9686,1730.6088999999984,40.17089999999999,12.065680790960451,4.06210470199585
1,10,2054,1773.3966000000025,41.3572,14.882301000000004,4.64408802986145
1,10,7502,1936.0417000000018,47.545800000000014,13.592400999999995,4.972762107849121
1,10,5872,1938.4080999999908,48.752500000000005,13.501357555555552,4.6068432331085205
1,10,1751,1937.0994999999994,46.35119999999999,14.034515951011715,4.999027967453003
1,10,5095,1947.3309000000013,43.78919999999999,11.894358494141345,4.778113842010498
1,10,8465,2366.4969000000046,56.61149999999998,15.799782900452486,4.431407928466797
1,10,8504,2200.6810999999943,54.19269999999998,13.578845222929937,4.233489751815796
1,10,8819,1921.6533000000109,47.07419999999996,12.741401000000002,4.441483020782471
1,10,4921,1856.9961999999925,45.925899999999984,16.69120417116922,4.785329818725586
1,15,6347,2069.4615999999965,71.45370000000001,20.390189059701495,3.412964105606079
1,15,7536,1916.3452999999909,65.30149999999999,17.871702,4.484702110290527
1,15,4078,1834.8970000000038,64.43440000000007,15.219100999999998,3.5217409133911133
1,15,4726,2082.528600000004,75.17399999999995,18.651002000000002,3.7979788780212402
1,15,5978,2322.2144000000085,76.73149999999998,20.142302,5.095125913619995
1,15,8836,2212.922100000002,78.41649999999996,17.035001000000005,4.571796894073486
1,15,3380,2194.9849,75.92920000000001,17.103301999999996,4.27863073348999
1,15,3669,1933.060800000001,76.46450000000003,15.768801999999999,3.505448818206787
1,15,7882,2012.5326999999984,69.91950000000003,16.1752918893371,4.386430025100708
1,15,2503,1751.994700000002,59.836000000000006,18.180678777777782,3.3313121795654297
1,15,5802,1942.3206999999989,68.22379999999998,16.058846113772454,3.8952786922454834
1,15,6455,1989.5219999999983,70.1524,17.494176082073434,4.408874988555908
1,15,5608,2184.944599999994,74.12249999999999,18.8812500797546,3.9672999382019043
1,15,8258,2110.2001000000037,71.9942,18.20460661478599,4.44028902053833
1,15,7486,1927.2628000000025,67.97739999999995,16.06201091735537,4.240529298782349
1,15,1839,1931.6828000000016,64.89699999999995,15.623858446808516,3.7876250743865967
1,15,3282,1933.886599999997,65.5142,18.78352695419847,4.90917181968689
1,15,3216,1987.5506999999993,69.6411,16.861801000000003,4.356173038482666
1,15,9034,1731.5857000000035,63.898600000000016,16.740702,3.08777117729187
1,15,7143,1837.7007000000026,66.11939999999996,15.26210100000001,3.6455979347229004
1,15,2446,2060.7151000000017,74.21200000000039,16.371649787061997,4.08763313293457
1,15,5924,1950.9721000000002,67.02549999999997,17.58079981098316,4.075005054473877
1,15,8881,1933.1433999999997,65.07419999999998,18.188396051359515,4.7754011154174805
1,15,6634,1897.8078999999939,65.93039999999999,16.689121890260626,4.1437602043151855
1,15,3097,1986.8113999999975,66.85969999999995,18.088711833024114,3.4542081356048584
1,15,1211,1730.7973999999988,63.91640000000003,13.466902000000003,4.1240599155426025
1,15,1921,2065.241200000006,70.70379999999999,16.67431693038822,4.4121739864349365
1,15,2740,2258.8608999999983,77.63249999999994,17.018802000000004,5.086603164672852
1,15,3306,1892.5736999999988,65.95310000000002,19.334441170940185,4.034423112869263
1,15,4366,2010.9864000000034,66.9341,17.30771107751939,4.724560022354126
1,15,5455,2259.9538999999963,73.51130000000005,15.736600999999997,5.014807939529419
1,15,9095,1971.3820999999978,72.11490000000003,19.187401999999995,4.435854196548462
1,15,8562,2239.234299999997,80.69609999999997,16.862600999999998,4.322238922119141
1,15,9815,1591.8955999999982,57.1827,13.895395833948335,4.324910879135132
1,15,1466,1840.6968000000015,66.90089999999998,16.660372123755337,4.41035532951355
1,15,8480,2046.7026000000017,68.81150000000004,18.82435897317437,4.611851930618286
1,15,3792,2204.304000000003,77.52859999999994,18.62147130693069,5.106118202209473
1,15,4697,1858.2731999999985,67.29299999999998,17.903832357552577,4.172672986984253
1,15,1565,1868.2888999999984,69.14419999999997,18.481954823086575,4.2129809856414795
1,15,5891,2210.732199999996,80.10169999999997,23.648602999999998,3.942044258117676
1,15,8308,1969.102099999996,72.22079999999994,17.701001999999995,4.248714923858643
1,15,4257,2003.658299999995,69.98269999999998,19.116768141732283,4.671947956085205
1,15,5733,1872.8696999999966,66.81290000000004,18.146502,3.9608588218688965
1,15,2946,2011.5496999999966,70.8438,17.457893817215723,4.251984119415283
1,15,1292,1801.6995999999988,62.637199999999986,12.904501,4.324461936950684
1,15,5439,1939.5798000000011,67.89989999999997,15.185419269076306,5.193280935287476
1,15,1714,1629.2513999999967,61.930900000000044,17.400501999999996,3.932861804962158
