effective_total_vnf_num,multiple_sfc_num,per_sfc_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,repository_bw,datacenter_externalbw_min,datacenter_externalbw_max,host_bw_min,host_bw_max,seed,HEFT,DHEFT,NHEFT,time_sec
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,1839,6688.746400000008,508.7004000000001,50.714001,2.007689952850342
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3282,7196.167199999996,545.0182,56.77739605058378,3.459928274154663
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3216,7732.472199999998,569.908,60.65907899499999,4.285644054412842
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,9034,7008.563200000007,512.1333,61.67,3.684248208999634
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7143,7037.127299999998,520.5399000000002,57.951200000000014,2.665649175643921
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,2446,7927.943200000007,588.0893999999998,62.08347342857143,2.640594005584717
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,5924,6919.619799999998,530.5382000000001,58.8483,2.376007318496704
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,8881,6651.428499999992,506.2911,54.097452,2.5677521228790283
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,6634,7281.187699999997,550.8013000000001,59.7452,3.318779230117798
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3097,7302.894600000009,543.6416999999999,60.77780299999999,2.3848466873168945
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,1211,6832.966199999996,522.0451000000003,56.182999999999986,2.6085171699523926
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,1921,6545.696799999999,513.5203999999997,56.78688764495112,3.6887638568878174
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,2740,7348.0758000000005,551.9415000000001,59.6537,3.7577459812164307
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3306,6793.734000000003,514.2873000000002,60.49769999999999,2.7534608840942383
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,4366,6801.315300000002,520.6545000000003,58.471,3.192250967025757
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,5455,7900.1146999999955,591.7184,62.1855,2.976602077484131
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,9095,7193.955200000008,529.1148000000001,58.157700000000006,2.7802460193634033
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,8562,7651.174299999986,564.3926000000001,62.742225,2.9149622917175293
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,9815,6007.0572999999995,457.6393000000001,52.956911016850434,2.866976022720337
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,1466,7278.570600000003,544.3212999999998,60.703903000000004,3.2217159271240234
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,8480,6769.391099999997,514.2418000000001,61.786601,2.1069681644439697
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3792,7855.81339999999,594.4758999999995,61.50160399999999,3.4708611965179443
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,4697,6873.732700000002,519.8749999999998,59.520801000000006,3.5678138732910156
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,1565,6937.133599999996,533.6138,60.456903,2.5834338665008545
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,5891,7893.876699999999,585.6987999999996,61.616899999999994,2.260723114013672
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,8308,7073.359799999996,524.9938,58.394099999999995,2.807258129119873
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,4257,6924.313999999992,528.2325,61.376099999999994,2.9214048385620117
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,5733,7421.900300000006,554.1520000000002,60.648,2.2531635761260986
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,2946,6976.400699999994,525.3796999999997,60.47760000000001,3.5777089595794678
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,1292,7083.688599999996,528.4774000000002,59.677501,2.8731651306152344
