multiple_sfc_num,per_sfc_vnf_num,effective_total_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,repository_bw,seed,HEFT,DHEFT,NHEFT,time_sec
2,160,320,1,12,6000,12000,200,1786,15293.904299999967,580.3896999999996,93.0209775,2.3311009407043457
2,160,320,1,12,6000,12000,200,8911,15233.4354,577.4903000000005,100.34253049999998,2.936528205871582
2,160,320,1,12,6000,12000,200,7510,13769.98949999999,525.5613999999996,125.2212500196,2.119325876235962
2,160,320,1,12,6000,12000,200,6556,14846.652400000006,566.9809000000006,111.91934532989693,1.9017348289489746
2,160,320,1,12,6000,12000,200,5726,13760.244699999994,514.0972999999999,94.732001,2.5020480155944824
2,160,320,1,12,6000,12000,200,2935,14435.187699999975,542.6413999999996,78.70027569937348,2.85705304145813
2,160,320,1,12,6000,12000,200,7223,14930.71180000003,552.4137999999997,112.36275099999999,2.408231735229492
2,160,320,1,12,6000,12000,200,1405,13664.667300000014,525.2679000000005,107.60200099999999,1.964660882949829
2,160,320,1,12,6000,12000,200,6792,14196.713299999978,541.6475999999999,122.11450316755824,2.335049867630005
2,160,320,1,12,6000,12000,200,7527,15622.959099999998,582.5572000000003,106.44658396961322,1.7578051090240479
2,160,320,1,12,6000,12000,200,3965,14351.893099999967,543.7892,96.717308585,2.134294033050537
2,160,320,1,12,6000,12000,200,9686,14475.987399999984,540.7712999999997,98.218726,1.8979880809783936
2,160,320,1,12,6000,12000,200,2054,13574.295900000005,510.17379999999986,123.17390099999999,2.589478015899658
2,160,320,1,12,6000,12000,200,7502,13819.18539999998,526.4132,92.848101,2.721801996231079
2,160,320,1,12,6000,12000,200,5872,13979.993300000004,531.8135999999993,97.13355403296703,2.0774247646331787
2,160,320,1,12,6000,12000,200,1751,14952.695600000003,552.9154000000002,100.50050200000005,3.229680061340332
2,160,320,1,12,6000,12000,200,5095,13652.333100000025,512.2942999999999,108.78078835632182,2.005642890930176
2,160,320,1,12,6000,12000,200,8465,15949.978000000012,595.4973999999997,104.37026129032257,2.454010009765625
2,160,320,1,12,6000,12000,200,8504,15274.37210000001,576.3874000000003,102.33080237499999,2.357908248901367
2,160,320,1,12,6000,12000,200,8819,13720.202999999976,506.3617,92.89290100000002,2.1491241455078125
2,160,320,1,12,6000,12000,200,4921,13344.694200000016,508.438,108.57680099999999,3.1627230644226074
4,80,320,1,12,6000,12000,200,6347,14571.427300000007,543.1929999999999,103.33290100000002,2.0627713203430176
4,80,320,1,12,6000,12000,200,7536,13747.392700000011,522.8905,112.29668335294119,2.2353250980377197
4,80,320,1,12,6000,12000,200,4078,13745.579400000017,514.2370999999998,84.470501,1.68955397605896
4,80,320,1,12,6000,12000,200,4726,15439.039299999984,587.4958000000003,116.573201,2.194888114929199
4,80,320,1,12,6000,12000,200,5978,14942.57830000003,563.1861000000005,105.31333499999997,2.2677502632141113
4,80,320,1,12,6000,12000,200,8836,15843.486100000004,589.0344,99.07984375604096,2.410616874694824
4,80,320,1,12,6000,12000,200,3380,14955.92990000002,564.1498000000003,100.386801,2.1758079528808594
4,80,320,1,12,6000,12000,200,3669,14871.787699999988,557.5535000000001,91.71819619,1.9694759845733643
4,80,320,1,12,6000,12000,200,7882,14447.578100000006,540.1570999999998,110.740801,2.3656437397003174
4,80,320,1,12,6000,12000,200,2503,12937.057600000015,489.70630000000006,117.65859851552796,1.9653899669647217
4,80,320,1,12,6000,12000,200,5802,14802.257900000037,562.1518000000001,102.37580100000002,2.2384891510009766
