repository_bw,multiple_sfc_num,per_sfc_vnf_num,effective_total_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,datacenter_externalbw_min,datacenter_externalbw_max,host_bw_min,host_bw_max,seed,HEFT,DHEFT,NHEFT,time_sec
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,5978,2176.3307999999984,143.21929999999998,34.08220583480826,32.77957105636597
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,8836,2210.959999999999,140.14230000000012,27.129025222222225,16.421804904937744
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,3380,2190.3818999999994,139.23170000000002,27.769679777777778,5.4208619594573975
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,3669,2123.6541000000025,138.6848,28.378780494799415,14.582741022109985
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,7882,2155.372100000005,136.97470000000004,30.418813111111106,24.6043860912323
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,2503,2103.1952,133.68210000000013,36.30645981495893,14.618490934371948
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,5802,2187.886399999995,138.3702,28.2733908888889,21.989809036254883
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,6455,2161.9338000000007,137.42330000000007,28.395957555555547,5.4138500690460205
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,5608,2199.8962999999994,140.14810000000003,30.188016533980583,7.133210897445679
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,8258,2142.514299999998,135.83440000000004,30.25589188888889,25.48206400871277
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,7486,2141.567300000001,137.54850000000002,29.477778238239775,52.28615379333496
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,1839,2133.323700000001,134.9636,28.011312162581678,39.73405885696411
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,3282,2109.2212000000018,133.27019999999996,28.00734644444444,14.529063940048218
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,3216,2130.6549000000027,135.13479999999993,28.202768666666664,9.01278805732727
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,9034,2106.6401,132.7615,32.41750300000001,5.602289915084839
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,7143,2074.181800000001,133.97120000000004,25.64395755555556,10.843430757522583
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,2446,2171.5580000000004,140.66129999999984,26.50160036915754,16.366733074188232
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,5924,2116.9982,134.68790000000004,28.849329571428566,7.418081045150757
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,8881,2064.0625999999997,129.91219999999993,29.011126530921224,8.185986042022705
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,6634,2054.7075,130.41510000000002,33.31622704118617,18.936764240264893
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,3097,2085.666100000004,132.62939999999998,32.29404478606966,26.26656985282898
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,1211,2049.9919000000023,129.0772,26.34920186455331,18.473231077194214
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,1921,2116.9407999999985,137.95250000000013,26.527525222222227,4.502342939376831
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,2740,2172.8986999999975,137.7045,27.655946444444446,29.983803749084473
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,3306,2118.9002,135.5512000000001,32.73831994871793,8.136317253112793
900,1,320,320,1,20,5000,7000,500,1000,1000,2000,4366,2115.425399999998,135.25710000000007,28.338221332406114,7.2848451137542725
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,6347,2172.3920999999987,137.1226,30.927378611940313,2.9539830684661865
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,7536,2063.0563,131.35209999999998,30.31651411111111,3.2828948497772217
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,4078,2106.043400000004,133.8913,25.354946444444447,5.572171926498413
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,4726,2176.7031999999995,139.8233,28.218052851851855,3.6111350059509277
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,5978,2176.3478999999993,142.65630000000021,30.177128548672563,3.7221739292144775
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,8836,2210.9478999999997,141.39660000000006,26.176564467492256,4.006277084350586
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,3380,2190.3601,138.86030000000002,29.0516918888889,3.5088579654693604
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,3669,2123.6614000000036,138.4280999999999,26.05842522222222,3.5269670486450195
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,7882,2155.3637000000053,136.93099999999993,27.685479777777758,3.9891180992126465
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,2503,2103.178700000001,135.39709999999997,32.04638880167003,3.2470877170562744
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,5802,2187.873699999996,139.74829999999983,25.360935333333334,3.775726079940796
